customer_id,loan_amount,credit_score,late_payments,default_history,risk_score,risk_level
10802,17803,686,3,0,41,Low
26467,19229,635,3,0,95,High
20413,15875,414,1,0,63,Medium
17842,16573,336,3,0,43,Low
24292,12652,760,1,0,67,Medium
17701,14317,357,1,0,76,Medium
11808,12041,447,2,0,31,Low
22858,10114,334,2,0,92,High
20840,9869,509,1,0,93,High
11489,16197,574,2,0,11,Low
16970,19167,484,1,0,92,High
23441,15864,607,1,0,63,Medium
17769,19802,648,4,0,55,Medium
28401,14922,306,1,0,36,Low
22555,18066,446,2,0,92,High
18969,18204,433,3,0,66,Medium
20871,14618,630,3,0,42,Low
12817,4974,691,0,0,6,Low
17802,16994,787,2,0,80,Medium
15923,10668,659,0,0,64,Medium
12949,12966,763,1,1,20,Low
23794,23602,457,4,0,89,High
23819,17595,526,1,0,63,Medium
19832,12115,679,3,0,59,Medium
21364,17474,710,2,0,91,High
14702,14184,406,2,0,38,Low
13820,10707,697,1,0,31,Low
26098,11846,605,2,0,13,Low
20374,18651,560,0,0,52,Medium
23076,16057,766,2,0,66,Medium
19149,8698,576,2,0,35,Low
18811,17251,428,1,0,96,High
24552,13483,362,2,0,14,Low
29921,13535,566,6,0,66,Medium
22524,19940,821,3,0,73,Medium
26170,18995,402,2,0,55,Medium
24924,15695,842,2,0,37,Low
25239,18398,415,4,0,91,High
29828,14343,756,2,0,37,Low
11518,12167,517,2,1,54,Medium
29085,4617,709,3,1,7,Low
13536,19499,311,3,0,55,Medium
16732,19844,847,2,0,62,Medium
12570,21100,774,2,1,56,Medium
12027,10969,541,1,0,50,Low
24849,14490,368,1,0,49,Low
14654,7753,605,3,0,35,Low
13162,17681,508,2,0,35,Low
13133,14531,737,2,0,9,Low
29669,14889,436,1,0,87,High
15068,24516,313,2,0,10,Low
28026,16009,352,2,0,49,Low
13954,22654,660,0,1,79,Medium
26244,17357,555,1,0,37,Low
11348,16862,999,2,0,64,Medium
11741,7813,418,0,0,87,High
22495,11119,703,2,0,42,Low
16898,9173,545,1,0,48,Low
11121,16471,778,1,0,45,Low
10745,4105,815,1,0,39,Low
25369,25311,662,1,1,13,Low
15831,16462,701,3,0,77,Medium
25979,8413,377,2,0,48,Low
11138,13686,633,3,0,72,Medium
25898,22223,497,3,0,39,Low
12492,14780,595,1,0,7,Low
15641,11696,457,1,0,71,Medium
25910,16741,846,1,0,54,Medium
29846,14395,707,3,0,32,Low
16926,16395,372,1,0,83,High
25729,12812,664,2,1,5,Low
16796,15404,786,3,0,80,Medium
20784,16345,821,0,0,5,Low
23249,18000,408,1,0,96,High
25882,19683,774,2,1,63,Medium
21668,9278,679,1,0,94,High
28987,9898,440,1,0,3,Low
18128,10595,825,4,0,55,Medium
29013,25768,409,2,0,71,Medium
26829,9294,523,1,0,6,Low
13824,18378,331,1,0,52,Medium
25569,10956,325,2,0,84,High
29812,14493,350,2,0,88,High
29396,15080,358,6,0,10,Low
25795,4007,677,3,0,6,Low
29328,21863,440,2,0,55,Medium
20653,18508,602,3,0,50,Low
14827,16493,635,3,0,78,Medium
20941,19301,363,3,0,56,Medium
26470,9121,406,1,0,58,Medium
24982,9309,321,1,0,53,Medium
19630,15022,662,1,0,82,High
28698,17305,651,3,0,11,Low
27834,6901,471,4,0,82,High
25418,21630,651,3,0,15,Low
17789,20282,381,3,0,31,Low
18209,11046,527,2,0,39,Low
29326,18376,837,2,0,61,Medium
24108,13927,492,4,0,78,Medium
14992,12602,436,2,1,81,High
10322,14838,525,2,0,60,Medium
14332,8188,504,1,0,10,Low
22968,17342,733,3,0,57,Medium
19442,18662,476,3,0,27,Low
14441,17845,729,3,1,39,Low
15972,22224,487,3,0,82,High
10410,10509,446,3,0,78,Medium
10414,17812,667,0,0,30,Low
29598,25580,570,1,0,46,Low
19992,22863,772,3,0,87,High
27195,21331,637,0,0,11,Low
24436,17918,746,2,1,43,Low
24544,15550,418,1,0,56,Medium
18432,16153,741,2,0,51,Medium
25803,15471,466,2,0,50,Low
11357,18988,405,3,0,31,Low
27074,19810,573,3,0,35,Low
25911,8607,609,3,0,84,High
14511,10610,808,1,0,96,High
27669,10315,628,3,0,43,Low
10114,12757,584,2,0,93,High
18927,14650,329,3,0,31,Low
12032,16237,635,5,0,18,Low
29553,17475,324,4,0,24,Low
14427,19012,650,4,0,70,Medium
22680,16012,773,4,0,18,Low
29280,14323,710,1,0,58,Medium
17387,10814,785,2,0,47,Low
23525,12355,585,3,0,17,Low
19247,12518,587,3,0,14,Low
12450,18873,527,2,0,99,High
23881,17729,651,1,1,30,Low
19836,16162,438,0,0,90,High
16416,17660,471,1,0,59,Medium
14411,14065,520,0,0,23,Low
29593,12160,461,2,1,46,Low
15169,6511,767,2,0,66,Medium
15076,12786,506,5,0,42,Low
11703,7243,845,1,0,2,Low
14442,16156,327,2,0,60,Medium
21294,9918,838,0,0,7,Low
27167,13998,435,4,0,20,Low
26812,13804,328,2,0,73,Medium
20087,3862,574,4,0,96,High
19380,5291,331,3,0,49,Low
11450,18105,684,2,0,87,High
11352,15343,676,2,0,60,Medium
15019,21905,818,1,0,54,Medium
12363,17526,446,0,0,54,Medium
19023,12350,495,2,0,59,Medium
15155,4772,741,2,0,56,Medium
14773,18964,407,3,0,89,High
13105,22140,326,4,0,31,Low
23304,4976,336,2,0,82,High
25026,15693,377,2,0,43,Low
24124,13917,307,0,0,99,High
18961,4073,556,1,0,70,Medium
24265,8647,785,3,1,29,Low
12443,16859,776,0,0,15,Low
26227,22340,754,1,0,64,Medium
20217,15499,767,1,0,65,Medium
10869,15295,513,0,0,97,High
13866,14499,559,2,0,45,Low
19313,18157,661,3,0,77,Medium
29365,12620,834,2,0,47,Low
25763,16167,829,4,0,22,Low
13359,23016,675,2,1,28,Low
11753,9575,506,2,0,92,High
15270,15689,427,3,0,30,Low
15121,13830,420,2,0,56,Medium
28493,13100,601,2,0,19,Low
24056,12755,312,0,0,29,Low
22919,14469,649,2,0,38,Low
11080,14192,566,3,0,14,Low
23518,12207,633,2,0,39,Low
13978,17694,498,1,0,94,High
12349,13236,753,1,0,57,Medium
24274,12047,307,3,0,10,Low
16406,11045,404,2,0,96,High
27843,18646,516,4,0,67,Medium
25389,7607,555,3,0,31,Low
26533,16094,836,0,1,41,Low
25364,17251,796,1,0,50,Low
28940,3084,815,2,0,52,Medium
12407,10953,366,2,0,34,Low
17299,19778,818,0,1,28,Low
12730,25201,599,1,0,18,Low
18044,11179,509,0,0,90,High
19595,10512,806,1,0,4,Low
19615,11397,316,1,1,25,Low
21497,17942,435,6,0,28,Low
16841,15448,634,5,0,51,Medium
20846,15977,725,3,0,53,Medium
16373,18995,545,1,0,38,Low
10235,23128,339,2,0,33,Low
22224,5365,519,1,1,54,Medium
19508,18243,623,2,0,11,Low
11041,20771,560,2,0,34,Low
14494,18011,383,2,0,38,Low
29395,13150,820,3,0,50,Low
14642,21064,683,3,0,56,Medium
14931,12809,794,0,0,83,High
26297,16135,309,2,0,74,Medium
26639,9187,329,2,1,57,Medium
11896,14124,557,3,0,37,Low
15269,21319,736,1,0,86,High
16563,20381,300,0,0,42,Low
10417,17794,771,2,1,46,Low
20714,27305,701,1,0,54,Medium
24758,19348,421,2,0,88,High
20187,12752,784,0,0,6,Low
17115,16577,423,0,0,80,Medium
21988,15930,813,4,0,39,Low
18252,11731,529,1,0,25,Low
24726,15239,308,1,0,13,Low
21410,15786,626,1,0,35,Low
13031,19956,730,3,0,66,Medium
13731,21412,312,1,0,96,High
27629,8700,598,2,0,15,Low
17942,17201,460,1,0,92,High
26046,16315,711,4,0,77,Medium
11121,20856,518,1,1,1,Low
22746,12053,768,1,0,4,Low
21091,13517,434,3,0,1,Low
21585,16351,329,1,0,92,High
14186,16527,574,1,0,39,Low
22046,18576,825,5,0,62,Medium
24017,20467,635,2,0,80,Medium
16410,13929,707,1,0,68,Medium
22485,10522,830,4,0,88,High
20167,10280,702,2,0,5,Low
25766,21935,419,2,0,47,Low
15641,10078,672,2,0,41,Low
26279,19995,722,1,0,42,Low
12491,4541,318,0,0,0,Low
11627,18130,440,3,0,85,High
22299,14455,323,1,0,23,Low
25480,18982,766,0,0,16,Low
10731,13832,450,2,1,18,Low
28294,14437,798,2,0,93,High
28948,16030,659,0,0,40,Low
23074,9372,336,5,0,82,High
20567,15721,319,4,0,80,Medium
12283,15319,837,4,0,96,High
20788,23322,419,0,0,27,Low
19386,19456,636,1,0,34,Low
20991,19003,624,1,1,55,Medium
19943,16191,791,0,0,45,Low
17522,19162,354,1,0,85,High
10133,7033,357,3,0,28,Low
25305,19551,567,1,0,25,Low
12932,10972,722,5,0,88,High
13291,8650,750,0,0,80,Medium
28559,14423,334,4,0,98,High
19614,17852,739,2,0,98,High
21838,28563,555,1,0,74,Medium
21171,4880,618,3,0,6,Low
23568,12066,826,3,0,51,Medium
25687,15659,381,1,0,59,Medium
22506,12166,749,0,0,78,Medium
27715,27957,580,3,0,66,Medium
18746,17619,605,2,0,60,Medium
16438,14034,427,1,0,99,High
16858,8776,744,0,0,1,Low
15557,11980,424,5,0,11,Low
26020,18658,408,1,0,66,Medium
13188,12034,709,4,0,74,Medium
21941,18454,677,4,0,2,Low
10602,17715,350,2,0,46,Low
10210,16807,430,1,0,11,Low
27132,17902,819,1,0,15,Low
13407,18852,421,2,0,24,Low
11227,14556,741,5,0,4,Low
14886,13794,471,2,0,66,Medium
11393,14412,778,1,0,41,Low
21511,7983,749,1,1,16,Low
23357,21228,348,2,0,45,Low
24072,7295,702,5,0,12,Low
23037,5672,751,0,0,96,High
28831,23868,531,0,0,21,Low
25419,20088,823,1,0,99,High
25528,14359,555,3,0,79,Medium
19659,22508,551,2,0,73,Medium
11428,12591,656,1,0,84,High
22541,20427,688,2,0,92,High
18710,13498,474,0,1,12,Low
26346,17742,820,1,0,11,Low
18938,15248,578,1,1,32,Low
28757,7142,362,1,0,18,Low
14371,11698,690,1,0,56,Medium
14267,13101,765,3,0,52,Medium
20539,16318,480,0,0,57,Medium
29917,15131,766,1,0,10,Low
29689,6372,665,2,0,82,High
14339,10887,409,0,0,8,Low
20027,21367,638,2,0,23,Low
18147,13525,640,0,0,19,Low
27084,8062,405,3,0,10,Low
24587,20119,560,4,0,10,Low
18140,13960,744,1,0,97,High
23760,19517,393,4,0,39,Low
19681,11517,646,0,0,87,High
24558,10900,384,5,0,97,High
15207,10558,479,1,1,64,Medium
19944,15623,460,1,0,43,Low
29449,25172,741,3,0,54,Medium
22813,12890,468,1,0,29,Low
21196,16004,672,5,0,47,Low
21839,25301,828,3,0,90,High
29100,15250,822,1,1,37,Low
23626,9601,347,3,0,10,Low
22922,14628,842,2,0,5,Low
23408,16244,419,2,0,63,Medium
25333,9822,714,2,1,44,Low
12625,12802,818,2,0,63,Medium
13442,11014,607,2,0,24,Low
28187,25400,392,3,0,89,High
29085,8444,401,1,0,44,Low
18454,11910,534,1,0,10,Low
18040,7348,598,1,0,0,Low
27838,11143,352,4,0,79,Medium
18889,13734,692,2,0,33,Low
25123,18131,665,2,0,79,Medium
11614,18924,622,0,0,90,High
18119,12550,770,3,0,82,High
25868,16973,534,1,1,50,Low
27834,4686,704,2,0,93,High
26753,16066,718,2,1,98,High
15985,12268,591,2,0,85,High
24450,14047,662,3,0,28,Low
19943,20405,529,0,0,94,High
14801,13601,537,2,0,25,Low
25891,18337,461,0,0,58,Medium
20124,5458,689,3,0,88,High
23080,15791,430,4,0,40,Low
17288,23392,463,1,0,19,Low
18891,13037,607,5,0,76,Medium
16368,9545,638,4,0,12,Low
18987,18803,507,4,0,19,Low
15712,18514,501,3,0,35,Low
19208,17536,428,3,1,6,Low
19921,4841,627,3,0,83,High
22603,11678,599,0,1,69,Medium
28278,11092,717,2,0,62,Medium
20316,14015,418,4,0,88,High
15651,9367,438,4,0,37,Low
22810,18138,808,3,0,32,Low
13433,16820,566,1,0,65,Medium
22931,25284,787,3,0,75,Medium
29123,18023,322,2,0,53,Medium
10633,10841,719,1,0,86,High
29394,11745,351,2,0,47,Low
24986,20878,488,0,0,6,Low
29672,4591,399,1,0,70,Medium
14502,9043,331,1,0,99,High
18912,17590,399,3,0,39,Low
19268,18586,401,1,0,62,Medium
27037,14616,335,3,1,62,Medium
13374,13356,815,2,0,54,Medium
11553,12439,489,1,0,2,Low
10252,11468,619,2,0,14,Low
15734,13916,693,1,0,40,Low
19110,24167,484,2,0,25,Low
21358,2864,758,2,0,87,High
29899,10023,364,4,0,13,Low
25546,23585,361,2,1,50,Low
28555,19790,825,1,0,18,Low
13930,8170,407,2,0,52,Medium
11800,14008,558,3,0,92,High
22447,18936,560,3,0,53,Medium
24631,20182,725,1,0,65,Medium
17501,10082,763,0,1,58,Medium
27655,11454,618,6,0,20,Low
22595,9969,537,4,0,75,Medium
11485,13701,370,1,0,88,High
24763,17290,615,2,0,21,Low
23615,21276,531,3,0,20,Low
14117,8051,691,2,1,85,High
29303,20057,519,1,0,18,Low
27196,15912,654,1,0,21,Low
10283,13791,373,2,0,43,Low
14162,27157,679,1,0,43,Low
11638,23494,376,0,0,84,High
25958,5908,700,0,0,54,Medium
18197,23616,615,1,0,46,Low
11677,15073,830,1,0,40,Low
24883,8274,374,1,0,27,Low
23142,21260,801,2,0,79,Medium
14651,21512,815,2,0,66,Medium
12797,15400,830,1,1,63,Medium
19260,17227,553,0,0,62,Medium
13442,15653,771,2,0,98,High
26840,14521,619,3,0,42,Low
25272,23206,559,2,0,38,Low
28181,13730,583,4,0,24,Low
25469,21739,459,1,0,81,High
27798,17803,337,0,0,14,Low
28642,8801,312,3,0,32,Low
20590,14270,416,4,1,66,Medium
25586,14775,326,4,0,58,Medium
11070,12260,661,5,0,61,Medium
26234,12646,738,0,0,81,High
14848,18315,785,7,0,21,Low
19932,19312,524,3,0,42,Low
23308,18165,765,1,0,13,Low
10487,15834,489,3,0,97,High
12764,13078,408,1,0,13,Low
20678,13163,459,2,1,50,Low
29070,16264,780,5,0,60,Medium
11867,18522,404,1,0,6,Low
27934,23172,327,4,0,33,Low
28725,16962,454,4,0,20,Low
24040,18433,310,0,0,23,Low
16070,7099,587,1,1,35,Low
11326,6203,499,2,0,16,Low
28137,11668,305,2,0,83,High
27135,17717,302,1,0,98,High
14365,12364,418,2,0,23,Low
28423,3887,658,5,0,48,Low
16633,14059,814,1,0,6,Low
11678,23495,773,1,0,51,Medium
19378,20906,714,2,0,8,Low
24753,7652,390,3,0,98,High
11736,14873,347,2,0,69,Medium
11829,13023,764,1,0,2,Low
16137,13752,651,4,0,81,High
26256,17319,660,2,0,64,Medium
14310,13759,596,2,0,80,Medium
16669,21848,464,0,1,32,Low
23080,7840,768,5,0,17,Low
22404,18643,753,1,1,91,High
17154,20024,531,3,0,25,Low
14176,13609,654,1,0,9,Low
12655,16222,355,2,0,83,High
11210,26538,480,1,0,24,Low
17334,15155,693,3,0,2,Low
23275,18991,546,2,0,41,Low
17817,19882,625,4,0,24,Low
17990,9556,641,1,0,44,Low
18010,27528,418,3,0,33,Low
18778,13788,585,1,0,6,Low
29293,14078,783,1,0,13,Low
10214,18220,818,1,0,8,Low
12362,15788,367,1,0,25,Low
12164,13293,363,3,0,47,Low
17946,18309,669,2,0,79,Medium
18509,8541,624,2,0,39,Low
26454,22570,808,1,0,83,High
22894,16836,632,3,0,49,Low
29696,17949,798,2,0,23,Low
29818,13223,496,2,0,59,Medium
27429,12289,486,2,0,39,Low
10653,8903,499,3,0,80,Medium
28181,18784,567,1,1,89,High
17710,6936,761,2,0,91,High
13964,16073,770,5,0,56,Medium
13091,12435,452,4,1,9,Low
11849,16101,324,3,0,99,High
24065,10410,531,2,0,5,Low
17641,21228,577,4,0,9,Low
22954,9928,325,3,0,5,Low
15644,648,424,1,0,70,Medium
21751,13305,415,3,1,55,Medium
10516,10506,419,4,0,71,Medium
22352,13729,724,4,0,39,Low
22944,10851,707,3,0,43,Low
12212,16193,618,2,0,86,High
13330,8208,689,1,0,72,Medium
28676,15019,708,1,0,26,Low
16783,13446,442,2,0,33,Low
16365,10182,676,2,0,99,High
13807,9138,426,4,0,91,High
16733,21732,380,3,0,2,Low
17762,8593,539,2,0,12,Low
17996,11175,650,4,0,85,High
22867,20789,822,1,0,13,Low
12967,15669,773,1,0,38,Low
28268,16154,789,1,0,82,High
20670,10762,521,4,0,83,High
24320,13986,660,2,0,21,Low
14089,25289,780,3,0,76,Medium
22792,20457,834,1,0,31,Low
14478,9743,561,4,0,94,High
21775,13207,525,1,0,75,Medium
10838,1954,849,4,1,83,High
16722,18493,652,2,0,25,Low
16825,9675,665,1,0,11,Low
26508,17311,555,3,0,83,High
18269,14900,704,3,0,10,Low
20544,12972,498,3,1,47,Low
19321,13778,661,0,0,76,Medium
20771,13780,306,1,0,53,Medium
14206,9243,433,1,0,36,Low
12412,19245,559,1,0,7,Low
17942,15268,517,2,0,78,Medium
20992,21197,500,1,0,31,Low
26835,7007,376,3,0,44,Low
13101,19823,384,0,0,42,Low
19779,12192,755,3,0,88,High
19385,12726,719,2,0,3,Low
15786,20127,839,4,0,93,High
12398,20614,587,2,0,21,Low
18719,22579,666,2,0,57,Medium
20310,14802,417,3,0,30,Low
17284,13693,309,1,0,77,Medium
28378,21835,797,3,0,38,Low
10633,18387,470,3,0,63,Medium
19951,16242,355,2,0,73,Medium
25287,4751,368,1,0,34,Low
21372,13377,677,2,0,33,Low
13571,12810,819,1,1,86,High
27696,13674,728,3,0,87,High
25473,10988,641,2,0,92,High
28778,13023,780,2,0,9,Low
17361,22382,620,3,0,10,Low
13069,19682,541,2,0,36,Low
11578,17281,400,4,0,95,High
18531,16700,732,0,0,9,Low
22327,9901,615,3,0,65,Medium
20679,17642,430,2,0,87,High
13559,17797,525,1,0,99,High
23260,15038,641,0,1,66,Medium
23568,8628,396,2,0,1,Low
14768,22189,462,3,0,16,Low
28619,14285,422,3,0,97,High
21336,17069,834,2,0,97,High
29686,19060,323,0,0,88,High
15191,7508,360,2,0,11,Low
24112,22611,781,3,1,57,Medium
21747,8616,717,2,0,29,Low
25927,14267,546,6,0,86,High
13659,22294,553,4,0,59,Medium
21619,8894,714,3,0,17,Low
24816,13352,544,1,0,10,Low
16634,19079,584,1,0,54,Medium
26067,21284,512,1,0,46,Low
20987,8390,350,3,0,8,Low
18368,9558,397,3,0,4,Low
18826,13911,662,3,1,70,Medium
16361,18068,541,1,0,30,Low
15691,14254,470,2,0,72,Medium
19687,15040,728,1,0,72,Medium
16233,14136,682,2,0,47,Low
27658,15689,782,1,0,37,Low
24874,16721,317,3,0,16,Low
12612,17798,394,5,0,94,High
29286,22994,300,2,0,88,High
15204,16809,553,1,0,91,High
19391,18312,357,4,0,66,Medium
22580,18853,594,4,1,69,Medium
29845,19019,811,4,0,2,Low
16304,16698,438,2,0,3,Low
25353,23231,590,1,0,56,Medium
28360,5424,326,3,0,71,Medium
25994,14564,621,5,0,75,Medium
22065,16599,540,4,0,26,Low
14318,11922,641,2,0,5,Low
25247,22137,426,2,1,5,Low
26296,4697,382,4,0,79,Medium
20363,13130,433,0,0,37,Low
21044,6353,392,1,0,11,Low
23461,12935,587,4,0,11,Low
22834,10976,848,2,0,30,Low
13974,16512,339,0,0,59,Medium
21124,26452,723,2,0,14,Low
13459,21707,751,0,0,41,Low
29724,8083,790,2,0,43,Low
15425,17360,408,3,0,25,Low
14111,12442,447,4,0,85,High
14608,19419,371,0,0,13,Low
15583,18903,546,4,0,3,Low
29423,21991,719,2,0,46,Low
23415,23073,465,3,0,16,Low
23600,20157,546,2,0,51,Medium
26526,14222,689,1,1,31,Low
27360,14123,423,3,0,47,Low
26720,8413,808,2,0,80,Medium
16044,16937,331,1,1,67,Medium
17371,17301,483,1,1,10,Low
28404,6195,789,1,1,54,Medium
26020,20661,710,6,0,1,Low
15158,13591,592,1,0,57,Medium
11536,9727,754,1,0,33,Low
18752,16018,751,4,0,37,Low
26170,7869,732,3,0,30,Low
25216,11580,582,4,1,71,Medium
10343,10630,465,3,0,85,High
24668,10675,359,2,0,51,Medium
27763,9809,370,1,0,64,Medium
15046,13848,471,2,0,70,Medium
10845,19227,830,5,0,27,Low
13653,9803,783,1,0,98,High
21649,11606,774,2,0,41,Low
22652,9844,802,2,0,60,Medium
15182,19303,707,3,0,56,Medium
15711,13083,841,1,0,17,Low
12915,16967,845,0,0,2,Low
29450,12876,610,1,0,52,Medium
21344,22449,653,0,0,34,Low
12647,14150,533,0,0,42,Low
17674,20576,790,1,0,41,Low
12005,19518,395,2,0,5,Low
15890,13288,718,0,0,34,Low
27062,11544,402,2,0,72,Medium
28902,12760,484,1,0,19,Low
11390,13366,809,2,0,77,Medium
15405,21979,827,3,1,2,Low
19699,19980,339,2,0,51,Medium
12626,16988,400,3,0,70,Medium
13759,12345,338,1,0,62,Medium
13879,10788,611,4,0,8,Low
19487,7712,427,1,0,66,Medium
27567,13257,581,1,0,83,High
14963,12125,502,2,0,63,Medium
25037,21316,434,1,0,2,Low
28661,17498,796,2,0,10,Low
21877,14787,363,0,0,62,Medium
22785,19085,656,2,0,5,Low
26582,21385,417,1,0,41,Low
20561,14175,719,2,0,76,Medium
20599,14136,679,3,0,50,Low
23706,8058,736,3,0,75,Medium
26841,21998,331,2,0,84,High
29942,19817,536,1,0,22,Low
21400,12229,590,0,0,44,Low
22440,19819,695,4,0,7,Low
25876,3237,529,3,0,60,Medium
22597,12604,790,1,0,46,Low
12315,15263,573,2,0,18,Low
10901,16510,704,3,0,13,Low
11136,19602,788,0,0,88,High
23605,10705,572,0,0,66,Medium
15284,17819,377,1,0,36,Low
10507,19010,350,3,0,72,Medium
23371,13821,359,3,0,34,Low
23197,12688,759,6,0,6,Low
18258,8881,595,2,0,17,Low
12627,12027,301,3,0,73,Medium
28712,4985,700,0,0,78,Medium
27415,13965,664,1,0,76,Medium
27688,15489,712,2,0,46,Low
23853,13509,805,1,0,80,Medium
19842,12812,576,4,0,75,Medium
22622,14703,555,1,0,14,Low
14283,15969,438,3,0,63,Medium
11764,17779,765,0,0,12,Low
26942,7538,354,4,0,74,Medium
25812,12732,398,1,0,69,Medium
18159,7635,543,2,0,4,Low
12089,12669,796,2,0,69,Medium
12225,20183,463,2,0,92,High
18195,16011,822,3,1,96,High
22597,13009,819,1,0,90,High
23086,11356,306,0,0,69,Medium
15199,12582,502,1,0,29,Low
24396,12012,757,2,0,44,Low
28809,16670,465,1,1,26,Low
19134,10408,819,2,0,8,Low
28434,12833,816,2,0,52,Medium
10476,11677,829,2,0,62,Medium
17250,9088,735,2,0,49,Low
26131,7310,712,0,0,2,Low
17202,14777,765,1,0,23,Low
26692,8493,343,2,0,77,Medium
19615,14500,344,3,0,40,Low
28585,19778,400,2,0,25,Low
18560,14636,361,2,1,34,Low
