claim_id,customer_id,incident_date,claim_amount,claim_status,claim_type
60040,27719,2019-09-24 22:29:28,11168,Under Review,Accident
60041,10218,2020-07-01 05:20:15,11909,Under Review,Theft
60042,25855,2024-01-20 22:34:59,7058,Under Review,Other
60043,17924,2019-03-21 00:11:49,10621,Under Review,Theft
60044,11681,2021-05-20 11:50:50,9217,Rejected,Theft
60045,27499,2024-04-25 13:27:35,8720,Under Review,Other
60046,29541,2018-08-05 13:38:41,6945,Under Review,Other
60047,26466,2022-10-22 08:21:57,637,Approved,Theft
60048,18379,2024-10-05 12:59:48,12923,Rejected,Accident
60049,10805,2018-09-16 11:47:02,8097,Approved,Natural Disaster
60050,29498,2024-07-28 07:06:55,2991,Rejected,Other
60051,10087,2018-05-12 15:15:19,5376,Under Review,Other
60052,26398,2018-02-13 04:06:04,9395,Approved,Other
60053,27086,2024-08-16 20:28:52,4377,Under Review,Accident
60054,27447,2019-03-08 12:25:14,8162,Rejected,Other
60055,18504,2024-01-27 18:39:54,9622,Rejected,Theft
60056,21909,2019-06-07 20:07:23,5780,Rejected,Theft
60057,20928,2018-01-29 07:06:23,5433,Approved,Theft
60058,26875,2017-11-26 23:12:00,1146,Approved,Theft
60059,18854,2021-06-01 02:09:06,6300,Approved,Accident
60060,23683,2020-09-28 21:26:36,10464,Under Review,Other
60061,14559,2023-11-24 12:30:15,10470,Rejected,Natural Disaster
60062,28292,2017-08-12 03:25:48,7165,Approved,Accident
60063,19380,2017-12-30 23:03:34,5272,Under Review,Theft
60064,13310,2024-07-09 21:14:01,11431,Approved,Theft
60065,16074,2018-11-21 15:51:49,6017,Approved,Other
60066,21843,2020-05-10 01:38:41,8379,Approved,Theft
60067,16213,2024-01-20 19:22:39,9371,Approved,Other
60068,17241,2023-06-10 23:06:22,7204,Approved,Natural Disaster
60069,17080,2017-03-22 19:29:55,12076,Rejected,Accident
60070,25713,2017-09-29 15:25:11,6649,Rejected,Natural Disaster
60071,22430,2019-06-20 10:17:34,7300,Approved,Theft
60072,23774,2021-07-09 01:21:28,5112,Approved,Natural Disaster
60073,27213,2019-02-06 20:26:04,5763,Under Review,Accident
60074,24098,2018-01-11 10:52:15,7023,Under Review,Natural Disaster
60075,15703,2017-09-12 15:48:42,8222,Rejected,Natural Disaster
60076,17851,2023-11-10 21:07:07,6615,Approved,Other
60077,29525,2020-03-09 00:02:33,6862,Rejected,Other
60078,29126,2017-02-04 01:39:04,2568,Under Review,Other
60079,18232,2018-01-31 04:31:03,9738,Under Review,Accident
60080,11645,2018-03-15 06:48:06,4423,Under Review,Theft
60081,24560,2022-04-30 21:00:24,11139,Under Review,Natural Disaster
60082,22109,2020-07-31 23:35:23,7128,Under Review,Natural Disaster
60083,27760,2020-01-06 13:03:19,5957,Approved,Theft
60084,14558,2017-01-07 10:15:22,7758,Under Review,Natural Disaster
60085,11359,2019-05-24 14:32:17,3941,Approved,Theft
60086,23850,2022-12-28 21:11:05,8207,Rejected,Theft
60087,20806,2021-03-18 10:22:47,10092,Approved,Accident
60088,29533,2018-02-27 21:54:14,6760,Approved,Natural Disaster
60089,23965,2019-06-07 17:20:11,7155,Approved,Other
60090,14425,2018-02-05 22:39:50,10124,Under Review,Theft
60091,13359,2018-09-04 05:31:45,6932,Under Review,Theft
60092,17610,2022-04-13 00:53:49,9298,Approved,Natural Disaster
60093,20910,2024-01-18 19:24:18,11343,Rejected,Other
60094,12517,2017-06-02 07:43:33,9598,Rejected,Other
60095,21529,2020-10-06 13:58:43,5478,Rejected,Theft
60096,28167,2023-02-25 05:31:04,12431,Rejected,Theft
60097,24881,2017-04-28 14:59:24,6621,Under Review,Accident
60098,12214,2019-07-28 15:38:32,7103,Rejected,Theft
60099,25358,2024-10-29 08:43:37,5399,Rejected,Theft
60100,20935,2023-03-16 08:51:08,10605,Rejected,Natural Disaster
60101,28409,2022-04-19 22:09:46,4699,Approved,Other
60102,19356,2024-08-20 19:43:04,7714,Rejected,Other
60103,26766,2021-07-21 10:25:34,5921,Approved,Natural Disaster
60104,27003,2020-12-27 17:47:45,5699,Rejected,Other
60105,26010,2019-09-04 03:42:34,11724,Under Review,Other
60106,15172,2020-10-08 14:40:51,220,Under Review,Natural Disaster
60107,24613,2024-01-15 17:04:14,12128,Approved,Natural Disaster
60108,18187,2020-02-18 01:33:39,9079,Approved,Accident
60109,12499,2024-11-10 03:33:43,6126,Approved,Natural Disaster
60110,27714,2022-06-19 00:56:39,5255,Rejected,Natural Disaster
60111,17544,2021-03-09 12:59:46,9774,Rejected,Natural Disaster
60112,22250,2023-11-21 11:10:02,2966,Rejected,Accident
60113,17059,2023-08-23 19:10:21,13105,Rejected,Accident
60114,17657,2021-10-10 18:54:17,35,Approved,Theft
60115,11447,2019-03-13 15:03:58,12651,Approved,Natural Disaster
60116,23388,2022-10-31 16:47:52,8481,Approved,Accident
60117,15120,2018-11-03 17:07:39,11887,Under Review,Accident
60118,27164,2017-08-16 11:05:48,4901,Rejected,Accident
60119,20487,2024-12-31 01:19:14,8445,Rejected,Theft
60120,19792,2021-09-12 02:53:33,6541,Approved,Accident
60121,15567,2023-08-20 05:47:01,6953,Under Review,Other
60122,19356,2020-03-03 01:03:14,8755,Rejected,Accident
60123,18317,2023-12-02 15:01:30,10460,Rejected,Natural Disaster
60124,23667,2018-09-11 01:00:00,8568,Rejected,Other
60125,19622,2019-10-22 16:52:38,5119,Under Review,Theft
60126,19806,2020-08-31 12:57:46,7154,Under Review,Accident
60127,22205,2018-04-12 23:18:02,6603,Under Review,Theft
60128,15909,2020-11-25 14:07:52,2718,Under Review,Natural Disaster
60129,24396,2024-10-23 04:53:59,-585,Under Review,Accident
60130,21919,2023-12-28 22:41:18,-494,Approved,Other
60131,21417,2023-06-01 14:58:39,5674,Rejected,Other
60132,27073,2018-04-10 10:56:43,5163,Rejected,Other
60133,15577,2020-01-31 03:28:31,2748,Under Review,Theft
60134,18236,2024-03-23 18:26:18,9090,Under Review,Theft
60135,10302,2018-09-10 23:08:03,7486,Approved,Natural Disaster
60136,14819,2024-04-15 09:36:34,2671,Under Review,Accident
60137,16678,2022-07-02 22:01:41,9837,Approved,Accident
60138,24717,2024-12-20 08:14:44,6227,Under Review,Theft
60139,14460,2020-05-28 20:48:34,6005,Approved,Accident
60140,18365,2021-07-31 13:32:19,6542,Rejected,Accident
60141,25691,2024-07-24 07:34:35,9544,Rejected,Natural Disaster
60142,12773,2019-10-22 07:36:48,-2960,Rejected,Other
60143,27251,2020-08-31 21:35:43,4387,Under Review,Accident
60144,16809,2023-11-08 15:46:22,11969,Rejected,Theft
60145,23986,2019-07-27 09:56:28,3668,Approved,Natural Disaster
60146,14852,2019-07-14 14:22:26,9275,Approved,Other
60147,17610,2020-11-13 03:41:04,1336,Under Review,Accident
60148,20432,2022-10-24 09:49:11,6374,Approved,Theft
60149,12815,2024-01-25 14:14:01,7258,Under Review,Natural Disaster
60150,12991,2018-08-23 12:21:11,8432,Rejected,Accident
60151,20194,2021-03-18 22:47:30,5738,Rejected,Natural Disaster
60152,19565,2023-04-19 11:38:57,6727,Approved,Theft
60153,13797,2017-11-04 15:05:43,1710,Approved,Accident
60154,26886,2024-07-22 07:53:56,7157,Under Review,Accident
60155,21836,2023-08-13 10:45:13,9565,Rejected,Accident
60156,17787,2021-02-11 07:29:18,2053,Rejected,Theft
60157,12042,2019-07-15 22:24:55,10305,Approved,Natural Disaster
60158,21867,2018-08-24 02:05:21,5507,Under Review,Other
60159,13177,2019-01-01 22:36:38,11589,Rejected,Theft
60160,15991,2024-12-29 01:09:34,8382,Under Review,Natural Disaster
60161,23114,2021-03-22 01:46:28,12276,Approved,Natural Disaster
60162,24261,2023-09-24 03:32:10,9790,Under Review,Accident
60163,21840,2023-08-04 02:18:40,10787,Approved,Natural Disaster
60164,10048,2017-07-11 10:50:42,7703,Under Review,Theft
60165,17881,2024-12-27 14:36:35,266,Approved,Accident
60166,15196,2018-07-26 17:50:45,9180,Approved,Theft
60167,29005,2021-05-16 07:44:22,8757,Under Review,Accident
60168,16734,2021-01-30 19:23:44,7988,Under Review,Accident
60169,26060,2017-03-23 21:14:12,5123,Rejected,Natural Disaster
60170,10110,2018-05-31 04:13:30,5539,Under Review,Theft
60171,14947,2023-10-20 17:39:20,7784,Rejected,Natural Disaster
60172,28405,2020-06-03 22:31:33,11298,Approved,Theft
60173,20775,2017-07-20 20:17:56,8030,Rejected,Natural Disaster
60174,29546,2018-07-01 10:57:26,9843,Rejected,Theft
60175,20852,2024-10-03 20:58:05,7231,Rejected,Accident
60176,12679,2023-02-08 06:55:05,6769,Approved,Accident
60177,24570,2024-01-09 21:13:49,10481,Rejected,Theft
60178,22377,2022-10-24 06:01:22,3866,Rejected,Accident
60179,18128,2020-03-22 18:16:42,6710,Approved,Accident
60180,18623,2017-07-10 21:59:52,3594,Approved,Accident
60181,11497,2021-07-26 16:26:42,3997,Rejected,Other
60182,11474,2019-09-05 01:27:05,5143,Rejected,Accident
60183,11039,2023-04-12 13:52:11,2101,Approved,Other
60184,10808,2018-11-15 07:04:48,6325,Approved,Theft
60185,10484,2024-06-26 09:55:10,4057,Under Review,Accident
60186,10630,2022-10-27 00:42:33,5457,Under Review,Accident
60187,20776,2023-10-02 16:45:59,5386,Under Review,Theft
60188,25870,2017-01-01 01:05:51,4710,Approved,Natural Disaster
60189,16215,2019-01-12 02:01:12,9662,Under Review,Theft
60190,11412,2021-09-08 20:14:00,8552,Approved,Theft
60191,15939,2024-06-22 11:15:53,8837,Approved,Natural Disaster
60192,17121,2018-03-08 21:11:30,6956,Approved,Natural Disaster
60193,11856,2017-10-22 23:03:43,9744,Approved,Theft
60194,13717,2021-02-05 15:09:36,6052,Approved,Natural Disaster
60195,21830,2020-04-02 01:40:38,9279,Rejected,Natural Disaster
60196,28002,2022-03-10 03:15:26,8727,Under Review,Other
60197,20187,2022-02-12 20:55:54,8636,Rejected,Theft
60198,16723,2023-05-27 20:36:06,3184,Under Review,Theft
60199,21852,2019-09-06 08:37:01,9487,Under Review,Natural Disaster
60200,23392,2019-04-17 22:44:24,7093,Rejected,Theft
60201,25423,2018-08-17 16:09:48,8252,Rejected,Natural Disaster
60202,19676,2021-02-08 23:50:56,10258,Rejected,Accident
60203,12285,2022-10-23 14:22:43,7845,Under Review,Other
60204,13815,2021-07-12 22:39:18,8438,Rejected,Natural Disaster
60205,10322,2021-06-06 11:16:16,6867,Approved,Accident
60206,27558,2023-02-09 10:59:22,7646,Rejected,Theft
60207,29689,2020-05-15 18:29:13,7843,Approved,Accident
60208,17681,2024-06-01 05:45:06,7274,Rejected,Theft
60209,23172,2020-12-18 22:15:01,6150,Approved,Other
60210,17174,2018-04-08 06:47:04,2966,Rejected,Natural Disaster
60211,22413,2024-08-08 18:57:56,4781,Rejected,Natural Disaster
60212,10991,2020-01-21 00:14:40,-1184,Rejected,Accident
60213,15683,2018-05-28 02:36:18,9887,Approved,Accident
60214,24729,2023-08-15 23:02:56,3891,Under Review,Other
60215,13760,2024-10-11 09:13:52,3381,Rejected,Accident
60216,10499,2021-01-21 01:33:33,8268,Rejected,Other
60217,17246,2019-02-20 06:13:03,3563,Rejected,Theft
60218,11346,2019-08-12 07:23:49,5146,Approved,Natural Disaster
60219,11745,2020-11-18 18:58:50,5955,Under Review,Theft
60220,29826,2018-07-03 18:17:10,10895,Rejected,Theft
60221,22379,2019-04-13 09:06:48,3585,Under Review,Theft
60222,11282,2024-06-21 19:58:49,4713,Approved,Other
60223,10686,2023-04-20 09:19:58,6921,Under Review,Other
60224,20363,2020-07-26 09:42:44,2700,Under Review,Natural Disaster
60225,14050,2022-02-28 16:10:15,5527,Under Review,Natural Disaster
60226,28326,2021-06-09 16:47:18,12997,Approved,Other
60227,25585,2020-08-07 03:27:10,7329,Rejected,Theft
60228,12097,2022-10-08 20:28:40,12333,Approved,Natural Disaster
60229,27761,2019-01-15 09:13:32,6820,Under Review,Accident
60230,19462,2022-06-22 03:33:01,7703,Under Review,Theft
60231,10516,2020-06-18 09:05:10,4596,Approved,Accident
60232,22237,2020-12-05 05:32:40,7455,Approved,Natural Disaster
60233,17211,2022-01-21 02:37:41,9446,Approved,Other
60234,26666,2018-02-22 02:16:11,7507,Approved,Accident
60235,21076,2020-07-28 00:29:18,6993,Rejected,Theft
60236,27951,2019-11-03 01:40:06,8791,Under Review,Other
60237,22419,2023-09-25 08:40:25,7126,Rejected,Natural Disaster
60238,28934,2019-05-05 17:14:07,7792,Under Review,Natural Disaster
60239,21073,2017-07-06 15:00:20,6595,Under Review,Accident
60240,21747,2017-09-11 04:18:53,10419,Approved,Accident
60241,23740,2023-08-30 14:49:55,7638,Rejected,Theft
60242,28113,2017-08-23 01:47:19,9846,Under Review,Natural Disaster
60243,27233,2024-02-19 20:23:20,8688,Approved,Accident
60244,17109,2020-03-10 05:29:41,4305,Approved,Theft
60245,24388,2024-07-26 16:57:29,1970,Approved,Natural Disaster
60246,12314,2024-01-24 12:48:52,5856,Under Review,Theft
60247,17401,2021-03-13 06:43:35,8266,Rejected,Natural Disaster
60248,28765,2018-09-30 10:46:38,10427,Rejected,Other
60249,19961,2021-07-15 00:20:23,4977,Under Review,Accident
60250,11430,2024-09-19 11:35:34,5315,Rejected,Natural Disaster
60251,28306,2020-01-06 01:30:00,9143,Under Review,Theft
60252,14011,2024-11-16 16:45:43,5573,Rejected,Other
60253,17816,2021-07-01 21:24:53,9818,Rejected,Other
60254,12444,2017-12-14 05:53:50,9934,Under Review,Natural Disaster
60255,27155,2017-09-13 20:57:06,9340,Rejected,Theft
60256,21103,2019-11-01 03:45:14,5878,Approved,Accident
60257,24604,2022-12-08 00:35:03,4228,Under Review,Theft
60258,23246,2017-10-28 13:09:35,9437,Rejected,Other
60259,17454,2019-11-03 13:23:12,9768,Approved,Other
60260,28106,2023-11-23 01:02:21,5926,Rejected,Natural Disaster
60261,21624,2020-12-16 00:03:23,7030,Approved,Natural Disaster
60262,18929,2022-02-12 14:03:40,7039,Under Review,Accident
60263,24922,2021-01-11 02:26:18,2838,Rejected,Accident
60264,23716,2021-12-15 22:26:32,5830,Rejected,Accident
60265,18455,2017-12-27 22:48:57,6572,Approved,Natural Disaster
60266,22912,2024-02-28 20:56:16,3369,Rejected,Theft
60267,26602,2020-06-14 18:31:34,8297,Approved,Other
60268,26296,2018-02-04 23:17:56,9696,Under Review,Natural Disaster
60269,23404,2022-03-17 18:59:59,16167,Under Review,Accident
60270,17024,2020-08-04 21:59:54,13249,Rejected,Natural Disaster
60271,21135,2018-05-19 03:09:42,4706,Rejected,Other
60272,12688,2018-12-26 20:04:01,4861,Rejected,Theft
60273,18309,2018-08-10 10:39:46,9491,Rejected,Theft
60274,24472,2020-04-17 20:02:28,3361,Rejected,Natural Disaster
60275,20680,2019-03-01 16:48:11,6792,Under Review,Accident
60276,22887,2022-05-17 05:48:57,8764,Rejected,Accident
60277,14246,2019-03-28 16:02:46,11502,Under Review,Accident
60278,25322,2023-08-01 08:10:17,9696,Approved,Accident
60279,21856,2020-10-02 19:47:41,9573,Under Review,Natural Disaster
60280,29531,2019-05-16 21:54:41,4784,Rejected,Natural Disaster
60281,29647,2019-06-20 05:31:04,9659,Rejected,Accident
60282,25199,2018-04-05 11:14:26,5757,Approved,Accident
60283,24521,2020-09-11 16:59:11,6958,Approved,Natural Disaster
60284,27562,2023-09-15 09:21:16,6754,Approved,Natural Disaster
60285,13477,2020-07-06 23:51:16,8191,Under Review,Accident
60286,16680,2023-09-16 21:31:44,11834,Under Review,Other
60287,15593,2024-11-21 09:09:32,11461,Rejected,Natural Disaster
60288,23792,2023-08-21 00:58:16,7443,Under Review,Theft
60289,19236,2020-06-26 03:31:23,11640,Approved,Accident
60290,21675,2019-08-22 21:38:44,2692,Rejected,Accident
60291,27933,2021-07-02 06:19:11,6776,Rejected,Other
60292,18429,2022-09-03 20:46:46,8580,Approved,Theft
60293,29445,2024-06-13 09:38:10,6336,Rejected,Natural Disaster
60294,16506,2020-06-01 19:26:51,4950,Under Review,Natural Disaster
60295,22688,2022-03-27 22:47:35,82,Approved,Accident
60296,28706,2020-11-22 11:03:50,7354,Approved,Other
60297,23597,2023-10-20 08:02:31,4152,Under Review,Other
60298,18404,2018-03-07 17:29:17,1885,Approved,Accident
60299,21240,2017-09-08 08:06:31,3326,Under Review,Accident
60300,19487,2020-11-22 02:01:54,6512,Under Review,Other
60301,17847,2017-02-20 04:54:31,5415,Rejected,Other
60302,19313,2021-11-04 01:40:40,5943,Approved,Accident
60303,21338,2017-12-05 22:45:43,2759,Rejected,Natural Disaster
60304,11649,2022-06-27 08:32:34,7399,Under Review,Accident
60305,25625,2022-05-22 10:05:59,9397,Rejected,Accident
60306,26593,2020-11-22 11:33:43,5915,Approved,Theft
60307,10935,2022-04-07 23:42:01,1098,Under Review,Natural Disaster
60308,17309,2017-06-15 18:18:45,5479,Approved,Accident
60309,26424,2020-01-16 19:15:28,6168,Approved,Other
60310,21543,2018-12-12 21:42:45,10277,Under Review,Theft
60311,12891,2018-09-26 21:06:57,2994,Approved,Theft
60312,22732,2022-12-14 19:31:41,8543,Under Review,Natural Disaster
60313,24606,2021-05-17 14:17:27,4554,Approved,Theft
60314,27816,2019-06-15 01:21:30,7015,Rejected,Natural Disaster
60315,15613,2019-07-20 00:33:42,7643,Approved,Natural Disaster
60316,11054,2018-01-08 18:38:53,7953,Approved,Accident
60317,15221,2017-03-14 00:52:03,10117,Rejected,Other
60318,11739,2018-01-20 11:34:51,4598,Under Review,Accident
60319,26489,2024-11-10 06:37:24,9251,Approved,Other
60320,10604,2020-01-04 12:16:10,13338,Under Review,Other
60321,19149,2017-05-23 02:07:12,-195,Rejected,Theft
60322,10645,2017-09-14 12:43:05,8543,Approved,Theft
60323,13766,2022-01-01 19:35:20,5266,Under Review,Natural Disaster
60324,29349,2018-04-02 02:10:40,6580,Approved,Accident
60325,23960,2022-03-06 23:42:45,6914,Approved,Other
60326,20563,2019-06-04 18:31:39,6362,Under Review,Natural Disaster
60327,16228,2024-03-21 06:18:53,7228,Rejected,Theft
60328,19083,2023-11-06 13:20:40,10131,Under Review,Theft
60329,10880,2021-02-18 06:44:57,10658,Rejected,Theft
60330,20205,2021-03-17 03:30:26,4853,Approved,Natural Disaster
60331,24337,2019-10-24 15:44:53,3864,Approved,Natural Disaster
60332,14144,2023-03-30 12:50:50,7591,Under Review,Other
60333,10978,2020-09-23 19:54:11,7278,Rejected,Accident
60334,26350,2020-11-11 22:31:34,8373,Approved,Natural Disaster
60335,17571,2020-03-24 12:45:23,10003,Approved,Accident
60336,17307,2021-09-21 01:20:59,11161,Approved,Natural Disaster
60337,10734,2023-08-29 06:28:27,6751,Under Review,Theft
60338,25782,2024-03-19 07:28:58,6273,Approved,Other
60339,13468,2023-03-21 17:36:09,7319,Rejected,Accident
60340,21829,2020-10-12 07:12:24,3837,Approved,Theft
60341,12079,2019-12-10 15:46:26,8858,Rejected,Accident
60342,27331,2019-01-21 16:21:53,6698,Under Review,Natural Disaster
60343,20963,2020-12-29 17:04:46,4095,Under Review,Other
60344,14079,2017-09-18 00:50:15,9279,Under Review,Other
60345,24955,2023-03-18 20:25:19,1908,Under Review,Natural Disaster
60346,27472,2021-02-09 16:56:42,8077,Approved,Theft
60347,28817,2017-01-11 14:38:33,8045,Rejected,Natural Disaster
60348,22067,2017-01-16 01:04:17,4145,Approved,Other
60349,16679,2017-03-20 23:33:30,9280,Approved,Accident
60350,14176,2023-02-11 07:21:33,10617,Under Review,Natural Disaster
60351,15710,2024-08-22 16:29:21,6842,Rejected,Natural Disaster
60352,13962,2020-04-10 02:24:13,9439,Under Review,Other
60353,11621,2021-10-27 19:52:41,5252,Approved,Accident
60354,24464,2024-03-26 07:21:09,7910,Under Review,Theft
60355,25099,2022-10-06 21:43:10,8679,Rejected,Natural Disaster
60356,10765,2019-08-07 12:22:25,2103,Under Review,Other
60357,27946,2017-10-13 09:15:36,4508,Approved,Other
60358,28987,2021-03-22 04:14:22,8757,Rejected,Other
60359,14265,2023-04-19 01:58:45,6897,Under Review,Natural Disaster
60360,15815,2017-10-14 11:42:46,6982,Rejected,Theft
60361,22145,2019-02-06 02:18:18,9156,Rejected,Other
60362,14749,2022-12-05 10:52:07,6817,Approved,Natural Disaster
60363,19282,2019-12-02 14:02:11,2481,Rejected,Accident
60364,23872,2018-03-25 16:43:43,3512,Under Review,Other
60365,25920,2017-10-22 07:38:48,7010,Approved,Theft
60366,11717,2021-10-21 02:57:33,5296,Under Review,Other
60367,24508,2018-12-04 13:46:50,7032,Rejected,Natural Disaster
60368,13759,2022-04-05 00:11:15,2576,Under Review,Theft
60369,10287,2021-04-27 20:10:11,7818,Under Review,Other
60370,10111,2024-09-10 03:54:18,1577,Rejected,Other
60371,29663,2023-07-29 14:51:22,6558,Rejected,Accident
60372,25627,2018-02-19 06:09:48,6544,Under Review,Natural Disaster
60373,22924,2018-07-11 14:08:41,6721,Rejected,Accident
60374,25585,2019-11-06 12:56:34,904,Rejected,Other
60375,16383,2019-09-25 04:13:29,8475,Rejected,Other
60376,20182,2018-04-10 19:10:35,6548,Under Review,Natural Disaster
60377,23485,2018-05-10 20:48:14,8210,Approved,Theft
60378,25793,2024-07-12 15:31:55,11339,Approved,Accident
60379,29347,2021-12-24 13:59:17,15471,Approved,Other
60380,17303,2023-02-04 12:40:53,6171,Rejected,Other
60381,28739,2018-10-08 20:26:27,10818,Approved,Accident
60382,22247,2018-09-21 01:16:51,6007,Approved,Other
60383,21747,2019-02-08 18:30:02,14402,Under Review,Other
60384,17983,2019-09-29 13:37:04,5581,Under Review,Other
60385,26480,2018-12-11 12:17:43,5987,Under Review,Theft
60386,26044,2021-10-10 20:12:58,12388,Rejected,Accident
60387,14044,2017-10-03 03:07:06,4864,Rejected,Accident
60388,11719,2024-12-20 11:27:21,12713,Rejected,Other
60389,25554,2020-07-26 00:56:49,1317,Rejected,Other
60390,27355,2024-04-15 20:30:14,1684,Approved,Accident
60391,12907,2021-12-06 11:35:47,3840,Under Review,Natural Disaster
60392,13917,2022-11-13 03:47:12,5386,Under Review,Other
60393,23198,2017-10-27 21:31:40,8648,Approved,Theft
60394,18469,2024-05-02 17:04:13,7892,Rejected,Natural Disaster
60395,23298,2022-09-08 23:56:42,10635,Rejected,Other
60396,12269,2020-12-27 05:36:24,3374,Rejected,Natural Disaster
60397,10684,2024-04-01 08:53:08,5921,Approved,Other
60398,10468,2020-11-20 17:50:16,327,Under Review,Other
60399,26250,2018-07-08 05:33:15,8198,Under Review,Natural Disaster
60400,17864,2021-11-22 23:40:22,6880,Under Review,Natural Disaster
60401,12394,2017-11-02 09:13:04,8820,Approved,Accident
60402,11537,2019-10-09 00:59:46,11135,Under Review,Natural Disaster
60403,15743,2024-01-17 06:09:33,5002,Under Review,Other
60404,18259,2018-09-13 02:21:37,5277,Approved,Accident
60405,29450,2018-02-06 05:05:55,9341,Under Review,Natural Disaster
60406,20673,2021-07-16 03:32:47,6940,Approved,Other
60407,12704,2024-07-08 12:44:57,7379,Under Review,Natural Disaster
60408,25685,2022-04-27 22:41:36,10736,Approved,Accident
60409,15227,2017-03-14 10:04:12,7490,Under Review,Accident
60410,18567,2023-04-18 02:08:43,2173,Under Review,Theft
60411,19866,2020-04-01 22:28:08,5362,Approved,Other
60412,10273,2021-12-10 08:46:29,4521,Approved,Natural Disaster
60413,23967,2018-07-07 03:54:33,-29,Approved,Accident
60414,14564,2022-03-15 06:54:17,3946,Approved,Accident
60415,23521,2024-12-21 14:19:07,135,Rejected,Accident
60416,15318,2019-05-07 12:17:36,2823,Rejected,Natural Disaster
60417,25642,2021-08-07 13:21:30,6998,Under Review,Theft
60418,24489,2017-11-22 19:43:43,5758,Under Review,Theft
60419,24686,2022-07-18 02:21:43,6684,Approved,Accident
60420,18845,2024-02-26 19:58:35,2919,Under Review,Other
60421,20965,2017-01-31 23:09:07,2079,Rejected,Natural Disaster
60422,27587,2020-02-06 13:45:10,8335,Rejected,Other
60423,13652,2021-05-14 05:10:17,11276,Approved,Theft
60424,12418,2023-01-11 09:08:46,3599,Under Review,Other
60425,16860,2017-11-22 21:09:18,6311,Under Review,Theft
60426,22959,2017-05-15 03:59:54,13659,Under Review,Natural Disaster
60427,14437,2021-02-28 19:47:35,3962,Under Review,Theft
60428,21721,2024-12-15 17:57:18,5164,Rejected,Natural Disaster
60429,12960,2021-06-24 11:22:14,7362,Rejected,Other
60430,12935,2022-04-23 11:43:56,2641,Approved,Accident
60431,20150,2018-08-03 12:31:19,8746,Under Review,Theft
60432,21358,2018-09-10 17:18:55,6971,Rejected,Theft
60433,11939,2022-06-20 23:00:59,2146,Approved,Other
60434,26509,2020-05-20 01:46:54,9299,Approved,Accident
60435,17495,2021-08-18 07:07:54,12464,Under Review,Accident
60436,26354,2020-05-18 09:08:45,9590,Under Review,Other
60437,27062,2020-01-08 10:33:18,5260,Under Review,Accident
60438,13231,2020-02-28 17:32:26,7523,Under Review,Accident
60439,13869,2023-01-28 07:13:12,9628,Rejected,Other
60440,26423,2021-04-21 14:57:03,7057,Approved,Other
60441,26287,2021-01-25 19:59:20,7193,Rejected,Other
60442,22020,2024-06-22 17:01:44,9278,Approved,Theft
